url_normalized,title,meta_description,http_status,fetch_error
http://www.calcuttanews.net/news/278787477/vibrant-gujarat-regional-conference-signing-of-mous-worth-rs-8500-crore-with-334-msme-units,"Vibrant Gujarat Regional Conference: Signing of MoUs worth Rs 8,500 crore with 334 MSME units","The MoUs worth Rs 8,500 crore were signed with 334 MSME units during the district-level Vibrant Gujarat Regional Conference that was held at Gandhidham in Kutch. Gujarat Forest and Environment Minister Arjun Modhwadia on Friday inaugurated the conference. Addressing the gathering at the Dr Babasaheb Ambedkar Convention Centre here, the Minister stated that despite natural calamities, the people of Kutch have transformed the region into a centre of development. Backed by the government's vision, Kutch has emerged as a central industrial hub and a model of transformation. According to the minister, once affected by water scarcity and unemployment, Kutch today generates employment for people from across the country and is leading in tourism, agriculture, industry, and renewable energy, while ",200,
"http://www.fhtimes.com/stories/looking-ahead-in-fountain-hills-for-2026,648889",Looking ahead in Fountain Hills for 2026 - Fountain Hills Times,"With 2025 in the rearview, here are five storylines for Fountain Hills to follow heading into 2026.   Park Place   In December 2025, the Town of Fountain Hills was hit with a notice of claim  …",200,
https://www.pilotonline.com/2026/01/02/pakistan-riots-trial/,,,403,bad_status:403
https://vtdigger.org/2026/01/02/jerry-ward-and-john-bossange-hijacking-the-abundance-myth/,Jerry Ward and John Bossange: Hijacking the abundance myth - VTDigger,"Growth will inevitably continue in Vermont, but is growth something we want to promote or try to manage?",200,
https://foxbaltimore.com/news/local/harford-county-residents-plead-help-high-winter-energy-bills-bge-maryland,'It's not okay:' Harford County residents plead for help amid high winter energy bills,"With the cold, blustery winter, BGE bills from December are now starting to roll in, leaving some Harford County residents feeling frustrated over high bills.",200,
https://foxbaltimore.com/news/local/maryland-dhs-report-reveals-negligence-in-death-of-16-year-old-in-foster-care,Maryland DHS report reveals negligence in death of 16-year-old in foster care,"A report from the Maryland Department of Human Services, revealed new details in the death of 16-year-old Kanaiyah Ward, while she was in foster care.",200,
https://kfdm.com/news/local/family-seeks-help-after-rare-genetic-disorder-diagnosis-in-deweyville-boy,Family seeks help after rare genetic disorder diagnosis in Deweyville boy,KFDM,200,
https://gcaptain.com/paint-job-politics-how-one-tanker-turned-a-sanctions-chase-into-a-us-russia-showdown/,Paint Job Politics: How One Tanker Turned a Sanctions Chase Into a US-Russia Showdown,"A rusting oil tanker and a can of paint have just sparked the most surreal maritime standoff of the decade. Paul Morgan (gCaptain) – For nearly two weeks, American forces...",200,
https://www.stratfordbeaconherald.com:443/news/local-news/former-brantford-resident-named-to-the-order-of-canada,Former Brantford resident named to the Order of Canada | The Stratford Beacon Herald,Jane Darville uses the word 'privilege” a lot when asked about her journey from Brantford to Canada's highest honour for citizenship.,200,
https://cbs12.com/news/nation-world/conservatives-push-back-on-billionaire-who-calls-for-limitations-on-first-amendment,Conservatives push back on billionaire who calls for limitations on First Amendment,Conservatives on  X have been pushing back on Israeli investor Shlomo Kramer who went viral for saying there should be First Amendment restrictions.,200,
https://yalibnan.com/2026/01/03/iran-regime-has-reached-the-end-of-the-road-says-exiled-crown-prince-as-deadly-protests-escalate/,‘Iran’s regime has reached the end of the road’ says exiled Crown Prince as deadly protests escalate – Ya Libnan,,200,
https://twitchy.com/laura-w/2026/01/02/x-user-makes-hilarious-yet-accurate-observation-about-how-billionaires-are-perceived-by-leftists-n2423479,"On Today’s Episode of 'That’s Not How Money Works', The Left Discovers Finance, and It’s HILARIOUSLY BAD – Twitchy",A reality check on the left's misunderstanding of finance and wealth distribution.,200,
https://panow.com/2026/01/02/cp-newsalert-air-india-pilot-arrested-last-week-at-vancouver-airport-before-flight/,Transport Canada warns Air India on drinking rules after pilot’s Vancouver arrest | paNOW,"An Air India pilot was offloaded from a plane and arrested at Vancouver International Airport last week, with Transport Canada warning the airline that it faced loss of its flight authorizations if it did not comply with rules about alcohol consumption...",200,
https://www.wfdd.org/law-enforcement/2026-01-02/fbi-says-it-disrupted-a-potential-new-years-eve-attack-inspired-by-islamic-state-group,FBI says it disrupted a New Year's Eve attack plan inspired by Islamic State group | 88.5 WFDD,"The FBI says it has disrupted a plot to attack a North Carolina grocery store on New Year's Eve, arresting a man who officials said was inspired by the Islamic State group and pledged his loyalty to the extremist militants.",200,
https://www.wfdd.org/politics-government/2026-01-02/naps-bruising-cognitive-tests-trump-addresses-aging-questions,"Naps, bruising, cognitive tests: Trump addresses aging questions | 88.5 WFDD",President Trump discusses his health after spending the 2024 campaign knocking President Biden as old.,200,
https://cbs12.com/news/nation-world/trump-blocks-two-bills-in-his-first-vetoes-since-returning-to-office-president-colorado-arkansas-miccosukee-tribe,Trump blocks two bills in his first vetoes since returning to office,"President Donald Trump rejected two bipartisan bills on Tuesday, marking the first vetoes of his second term.",200,
https://www.abc.net.au/news/2026-01-03/red-sprites-storm-chaser-kimberley-sky/106192812,Storm chaser captures rare red sprites across Kimberley sky - ABC News,"A storm chaser says he ""screamed"" when he captured an elusive natural phenomenon, known as red sprites, on video.",200,
https://www.singletonargus.com.au/story/9144717/eleven-dead-as-bus-crashes-head-on-into-truck-in-brazil/,"Eleven dead as bus crashes head-on into truck in Brazil | The Singleton Argus | Singleton, NSW",Eleven people have been killed in a road crash in Brazil's southernmost state of Rio Grande do ​Sul.,200,
https://mb.com.ph/2026/01/03/ridon-blasts-leviste-for-lying-again,,,403,bad_status:403
https://www.singletonargus.com.au/story/9144527/mould-forces-closure-of-cancer-ward-at-calvary-mater-hospital/,"Mould forces closure of cancer ward at Calvary Mater hospital | The Singleton Argus | Singleton, NSW","Calvary Mater Hospital closes cancer ward over Aspergillus mould risk, affecting patient care and prompting legal action.",200,
https://www.cbc.ca/news/canada/new-brunswick/fatal-fire-saint-john-9.7032355,"Man, 59, dead after fire in Saint John building | CBC News",Firefighters in Saint John found a 59-year-old man dead during a fire at a Guilford Street building. Five firefighters were injured battling the blaze.,200,
https://www.keighleynews.co.uk/news/national/25736847.man-67-dies-pulled-sea-withernsea/,"Man, 67, dies after being pulled from sea at Withernsea | Keighley News",Humberside Police said it was called to attend Central Promenade in Withernsea at 3.15pm on Friday.,200,
https://www.thedailystar.net/news/bangladesh/politics/news/fakhruls-income-rose-tk-57700-7-years-4071781,"Fakhrul’s income rose by Tk 57,700 in 7 years | The Daily Star","BNP Secretary General Mirza Fakhrul Islam Alamgir, who filed nomination papers for contesting the February 12 polls from the Thakurgaon-1 constituency, has reported a marginal increase of Tk 57,700 in his annual income over the past seven years.",200,
https://www.thedailystar.net/news/bangladesh/diplomacy/news/neighbourly-ties-will-improve-due-course-4071841,Neighbourly ties will improve in due course | The Daily Star,"Wishing Bangladesh well for the upcoming national election, Indian External Affairs Minister S Jaishankar yesterday said neighbourly ties in the region will improve in due course.",200,
https://www.wfdd.org/immigration/2026-01-02/greensboro-mans-deportation-case-dismissed-court-documents-show,"Greensboro man's deportation case dismissed, court documents show | 88.5 WFDD",Mohamed Naser was temporarily held in a federal detention center after being detained by ICE last year.,200,
https://greekreporter.com/2026/01/02/eu-greece-sugar-industry-collapse/,How the EU Led Greece’s Sugar Industry to Collapse - GreekReporter.com,Greece's sugar industry was one of the most important agricultural / food processing sectors but has gone into decline in the past decades.,200,
https://www.pakistantoday.com.pk/2026/01/03/utmanzai-tribe-threatens-civil-disobedience-if-demands-not-fulfilled-by-jan-20/,Utmanzai tribe threatens ‘civil disobedience’ if demands not fulfilled by Jan 20 | Pakistan Today,,200,
https://www.bostonglobe.com/2026/01/02/world/how-one-swiss-hospital-coped-with-injured-alpine-bar-fire/,How one Swiss hospital coped with the injured from the Alpine bar fire - The Boston Globe,The hospital that initially took in the majority of injured victims from a fire at a Swiss bar is no stranger to emergencies. But the influx of patients on New Year's had no precedent.,200,
https://www.abc.net.au/news/2026-01-03/wagyu-angus-casualty-of-china-tariffs-on-australian-beef/106194112,Premium beef producers expect to be the main casualty of China's new 55 per cent tariff - ABC News,"Australian cattle farmers producing wagyu and Angus beef are likely to be among the hardest hit by China's 55 per cent tariff on exports exceeding a 205,000-tonne quota.",200,
http://www.saltlakecitysun.com/news/278787359/atha-energy-announces-grant-of-compensation-securities,ATHA Energy Announces Grant of Compensation Securities,"VANCOUVER, BRITISH COLUMBIA / ACCESS Newswire / January 2, 2026 / ATHA Energy Corp. (TSXV:SASK)(FRA:X5U)(OTCQB:SASKF) (""ATHA"" or the ""Company"") announces the gr",200,
https://www.bostonglobe.com/2026/01/02/metro/new-bedford-hit-and-run-car/,Police find car involved in fatal New Bedford hit-and-run,"Police on Friday did not identify the vehicle’s owner, but said finding it was a “critical breakthrough” in the case.",200,
https://www.shelf-awareness.com/readers/2025-12-31/my_little_donkey:_and_other_essays.html,"Shelf Awareness for Readers for Friday, January 2, 2026 | Shelf Awareness","Welcome to the Web site for Shelf Awareness: Daily Enlightenment for the Book Trade, the free e-mail newsletter dedicated to helping the people in stores, ...",200,
https://www.bostonglobe.com/2026/01/02/metro/despite-deadly-gabriel-house-blaze-fewer-people-died-fires-2025-state-officials-say/,"Despite deadly Gabriel House blaze, fewer people died in fires in 2025, state officials say - The Boston Globe","Fire deaths declined 12 percent in 2025, to 44 from 50 the year before, state fire officials said Friday.",200,
https://www.shelf-awareness.com/readers/2026-01-02/diagnosis_detectives:_tummy_trouble.html,"Shelf Awareness for Readers for Friday, January 9, 2026 | Shelf Awareness","Welcome to the Web site for Shelf Awareness: Daily Enlightenment for the Book Trade, the free e-mail newsletter dedicated to helping the people in stores, ...",200,
https://www.pasadenastarnews.com/2026/01/02/the-first-hours-of-the-palisades-eaton-fires-we-were-all-caught-off-guard/,"What happened in the first hours of the Palisades, Eaton fires — ‘We were all caught off guard’ – Pasadena Star News","Residents recount what happened in the early hours of the two vicious fires, one year later.",200,
https://www.fox6now.com/news/wisconsin-crash-semi-hits-high-voltage-power-pole-dane-county,Wisconsin crash: Semi hits high-voltage power pole in Dane County | FOX6 Milwaukee,"A crash involving a semi-tractor-trailer along northbound I-39/90 knocked down a high-voltage power pole in Dane County early Friday, Jan. 2.",200,
