url,error
https://en.antaranews.com/news/395521/indonesia-races-to-restore-services-at-flood-hit-hospitals-in-sumatra,Connection error.
https://finance.yahoo.com/news/thailand-shift-toward-mixed-japanese-105236716.html,Connection error.
https://www.the-star.co.ke/news/2025-12-08-3-dead-after-mining-site-collapses-in-kakamega,Connection error.
https://www.firstpost.com/world/tokyo-summons-chinas-ambassador-over-chinese-jets-lock-radar-on-its-aircraft-13957585.html,Connection error.
https://aninews.in/news/world/asia/sri-lankan-mp-meets-indian-envoy-hails-indias-continued-support-under-operation-sagar-bandhu20251208105324/,Connection error.
http://usa.chinadaily.com.cn/a/202512/08/WS693624c4a310d6866eb2d5b9.html,Connection error.
https://www.taipeitimes.com/News/editorials/archives/2025/12/09/2003848553,Connection error.
https://www.eco-business.com/news/how-can-china-meet-its-climate-adaptation-challenges/,Connection error.
https://www.marketscreener.com/news/russian-drone-strike-on-ukraine-s-sumy-injures-at-least-seven-governor-says-ce7d51dddd8bf42d,Connection error.
http://www.calcuttanews.net/news/278742861/india-issues-warning-to-largest-airline-after-travel-chaos,Connection error.
https://www.centralchronicle.com/indigo-crisis-stems-from-crew-rostering-failures-says-civil-aviation-minister-naidu/,Connection error.
https://www.stockandland.com.au/story/9128068/andrew-leigh-on-why-farmers-deserve-the-right-to-repair/,Connection error.
https://komonews.com/news/local/major-flooding-expected-in-east-king-county-sandbag-stations-open-weather-rain-storm-forecast-safety-resources-barrier-river-roads-traffic-commute-washington,Connection error.
https://www.chinadaily.com.cn/a/202512/08/WS69366e0fa310d6866eb2d730.html,Connection error.
https://dailynews.co.zw/swedens-aid-cutback-betrays-democracy-progress/,Connection error.
https://www.thesouthafrican.com/news/weather/weather-heres-where-you-can-expect-sunny-skies-this-week/,Connection error.
https://lfpress.com/news/local-news/potential-pilot-strike-threatens-london-flights-to-mexico-dominican,Connection error.
https://naija247news.com/miners-reject-northern-governors-proposed-ban-warn-of-economic-and-security-fallout/,Connection error.
https://www.el-balad.com/6788699,Connection error.
https://www.myjoyonline.com/lightwave-considers-court-action-over-health-ministrys-silence-on-lhims-dispute/,Connection error.
https://www.firstpost.com/world/with-china-its-always-we-verify-trumps-top-aide-on-trade-deal-with-beijing-13957534.html,Connection error.
https://athens-times.com/farmers-livestock-breeders-and-supporters-gather-outside-ministry-of-rural-development-on-acharnon/,Connection error.
