globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl,url_normalized,title,meta_description,http_status,fetch_error
1286887468,20250201,20260201000000,013,013,01,1,4,1,4,-0.70671378091873,"Swan River, Western Australia, Australia",AS,AS08,5481,-32.05,115.75,-1603096,20260201000000,https://www.watoday.com.au/national/western-australia/freo-bridge-has-officially-closed-what-happens-next-20260201-p5nyjs.html,https://www.watoday.com.au/national/western-australia/freo-bridge-has-officially-closed-what-happens-next-20260201-p5nyjs.html,Freo bridge has officially closed. What happens next?,"While the new bridge rounds out the Fremantle port, don’t expect the next year without a crucial river crossing in one of Perth’s busiest corners to be smooth sailing.",200,
1286887471,20250201,20260201000000,014,014,01,1,3,1,3,-0.31323414252154,"Arlington National Cemetery, Virginia, United States",US,USVA,,38.8793,-77.0736,1462551,20260201000000,https://www.adn.com/nation-world/2026/01/31/trump-wants-to-build-a-250-foot-tall-arch-dwarfing-the-lincoln-memorial/,https://www.adn.com/nation-world/2026/01/31/trump-wants-to-build-a-250-foot-tall-arch-dwarfing-the-lincoln-memorial/,"Trump wants to build a 250-foot-tall arch, dwarfing the Lincoln Memorial - Anchorage Daily News",The president is eyeing a plot of land near Memorial Bridge. The art critic who proposed the idea called for a smaller arch or for Trump to pick a new site.,200,
1286887472,20250201,20260201000000,130,130,13,3,4,1,4,0,"Houston, Texas, United States",US,USTX,TX201,29.7633,-95.3633,1380948,20260201000000,https://www.nytimes.com/interactive/2026/01/31/us/elections/results-texas-special-runoff.html,https://www.nytimes.com/interactive/2026/01/31/us/elections/results-texas-special-runoff.html,Texas 18th District Special Runoff Election Results: Menefee vs Edwards - The New York Times,"Get live results and maps from the Jan. 31, 2026 Texas special runoff elections.",200,
1286887489,20260125,20260201000000,013,013,01,1,8,4,8,-1.76366843033509,"Milan, Lombardia, Italy",IT,IT09,18363,45.4667,9.2,-121726,20260201000000,https://www.kunc.org/npr-news/2026-01-31/milan-protesters-call-for-u-s-ice-agents-to-leave-italy-as-winter-games-approach,https://www.kunc.org/npr-news/2026-01-31/milan-protesters-call-for-u-s-ice-agents-to-leave-italy-as-winter-games-approach,Milan protesters call for U.S. ICE agents to leave Italy as Winter Games approach | KUNC,"An ICE unit from the US Department of Homeland Security is playing a role providing security at the Winter Games. At past Olympics, their involvement would have been unremarkable. But after the violence in Minneapolis, many Italians protesting in Milan say ICE agents are no longer welcome.",200,
1286887491,20260125,20260201000000,0841,084,08,2,8,1,8,-4.60829493087557,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,20260201000000,https://www.nbcphiladelphia.com/news/national-international/judge-orders-release-5-year-old-boy-detained-immigration-authorities-minnesota/4343046/,https://www.nbcphiladelphia.com/news/national-international/judge-orders-release-5-year-old-boy-detained-immigration-authorities-minnesota/4343046/,Judge orders release of 5-year-old boy detained by immigration authorities in Minnesota – NBC10 Philadelphia,Liam Conejo Ramos and his father were taken into custody by immigration authorities as the pair were on their way home from the child's Minnesota preschool.,200,
1286887497,20260125,20260201000000,173,173,17,4,1,1,1,-3.2258064516129,"Texas, United States",US,USTX,,31.106,-97.6475,TX,20260201000000,https://ktbb.com/post/?p=1476683,https://ktbb.com/post/?p=1476683,,,403,bad_status:403
1286887503,20260201,20260201000000,046,046,04,1,4,2,4,0.99009900990099,United Arab Emirates,AE,AE,,24,54,AE,20260201000000,http://www.heraldglobe.com/news/278841780/india-arab-states-review-progress-at-4th-som-identify-new-areas-of-cooperation-for-presentation-to-2nd-foreign-ministers-meet,http://www.heraldglobe.com/news/278841780/india-arab-states-review-progress-at-4th-som-identify-new-areas-of-cooperation-for-presentation-to-2nd-foreign-ministers-meet,"India, Arab States review progress at 4th SOM, identify new areas of cooperation for presentation to 2nd Foreign Ministers meet","India and Arab States held the 4th Senior Officials' Meeting (SOM) of the Arab-India Cooperation Forum, where senior officials from both sides reviewed progress across multiple sectors of cooperation and identified new areas of engagement that were placed before the Second India-Arab Foreign Ministers' Meeting held in the national capital. In a post on X, the Ministry of External Affairs (MEA) stated that the meeting, held on Saturday in the national capital, was co-chaired by Secretary (South) in the MEA, Neena Malhotra, and the Permanent Representative of the United Arab Emirates to the League of Arab States, Ambassador Hamad Obaid Ibrahim Salem Al-Zaabi. During the SOM, the two sides reviewed the status of ongoing cooperation under the India-Arab Partnership, discussed implementation me",200,
1286887506,20260201,20260201000000,173,173,17,4,2,1,2,-14.6341463414634,"Nassau, New Providence, Bahamas, The",BF,BF23,5747,25.0833,-77.35,-1543832,20260201000000,https://www.longislandpress.com/2026/01/31/dwi-suspect-kills-nassau-police-officer-patricia-espinosa-in-crash-cops-say/,https://www.longislandpress.com/2026/01/31/dwi-suspect-kills-nassau-police-officer-patricia-espinosa-in-crash-cops-say/,DWI kills Nassau police officer Patricia Espinosa,"A suspect has been arrested for allegedly driving drunk and causing a crash that killed a 42-year-old off-duty Nassau County police officer in Saint James on Jan. 31, Suffolk County police said.",200,
1286887509,20260201,20260201000000,051,051,05,1,8,1,4,1.00819155639572,"Calgary, Alberta, Canada",CA,CA01,12549,51.0833,-114.083,-561990,20260201000000,https://calgarysun.com/news/0201-poli-sci-reax,https://calgarysun.com/news/0201-poli-sci-reax,Long road ahead for Poilievre to win over Canadians despite party endorsement | Calgary Sun,"Pierre Poilievre's overwhelming support in Friday's leadership review was not a surprise to political scientists, but it's just the beginning of the road to winning broader support.",200,
1286887510,20260201,20260201000000,014,014,01,1,1,1,1,-0.22535211267606,"Calgary, Alberta, Canada",CA,CA01,12549,51.0833,-114.083,-561990,20260201000000,https://calgarysun.com/news/smith-blasts-trudeaus-liberal-government-at-conservative-convention-sidesteps-carney-and-separatism,https://calgarysun.com/news/smith-blasts-trudeaus-liberal-government-at-conservative-convention-sidesteps-carney-and-separatism,Danielle Smith blasts Trudeau Liberal gov't at Conservative convention | Calgary Sun,"Premier Danielle Smith blasts former prime minister Trudeau's Liberal gov't at Conservative convention, sidesteps Carney, Alberta separatism",200,
